px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	1.03951e-320
8.46016	0.246046	-0.00149819	0.00301622	0.0025122	8.44818	0.251553	8.45	0.25	-3.00027	0	6.90261e-310
8.4644	0.244807	0.000955912	0.000819685	0.000574008	8.56759	0.241943	8.45	0.25	0	0	0.123965
8.46294	0.246727	0.000188464	0.00309109	0.00227909	8.45582	0.253997	8.45	0.25	0	0	6.90261e-310
8.40262	0.234936	-0.219502	-0.00966795	-0.0104117	8.42544	0.254042	8.35	0.25	-1.81979	0	33.8306
8.36824	0.238732	-0.23923	-0.00133825	-0.00398935	8.23962	0.24916	8.25	0.25	-1.81978	0	6.90261e-310
8.21976	0.220574	-0.747356	-0.0249195	-0.0242972	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	123.063
8.13441	0.216415	-0.796815	-0.0213579	-0.0203765	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	6.90261e-310
7.98983	0.209967	-1.17601	-0.0296837	-0.024662	7.61269	0.155818	7.7	0.15	-2.99982	0	57.4339
7.87705	0.207841	-1.23543	-0.0222683	-0.018077	7.54016	0.159641	7.55	0.15	-2.99982	0	6.90261e-310
7.77258	0.205319	-1.35419	-0.0226624	-0.0154917	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	5.25482
7.64809	0.194251	-1.4127	-0.00900245	-0.000157987	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	6.90261e-310
7.4995	0.188187	-1.66266	-0.00329591	0.00886872	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	19.6287
7.35716	0.164798	-1.72277	0.0422927	0.048803	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	6.90261e-310
7.2453	0.14125	-1.73784	0.0838418	0.0813701	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.85316
7.1061	0.0730446	-1.79032	0.202846	0.172561	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	6.90261e-310
6.99319	0.0228947	-1.85894	0.26141	0.211635	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	5.64482
6.86731	-0.0945262	-1.91897	0.425593	0.32508	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	6.90261e-310
6.81266	-0.23801	-1.82385	0.632061	0.463587	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	9.9276
6.71704	-0.368745	-1.88776	0.759743	0.536159	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	6.90261e-310
6.67193	-0.557553	-1.86419	0.978192	0.673769	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	9.31929
6.59811	-0.723514	-1.95487	1.10288	0.730182	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	6.90261e-310
